,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018*,2019.0,2020.0,2021.0,2022*
Республика Казахстан,4917.916666666667,5670.916666666667,6674.0,7500.0,8800.0,12602.0,15516.0,18323.5833333333,19718.0,24459.5,28892.0,31886.333333333332,34796.25,37130.75,38502.0,41846.833333333336,46319.25,51198.0,55791.166666666664,59700.916666666664,67440.0,77602.08333333333
Абай,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63212.916666666664
Акмолинская,5117.0,5650.333333333333,6770.0,7409.0,8623.0,11081.0,14516.0,18246.0,20069.416666666668,26376.916666666668,27820.75,30186.5,31574.583333333332,36059.416666666664,36464.0,39690.75,44787.083333333336,51153.0,56075.833333333336,62230.0,67648.0,79216.08333333333
Актюбинская,5507.416666666667,6841.75,8388.0,8768.0,9555.0,13410.0,16868.0,20636.916666666668,20460.916666666668,27285.083333333332,30049.166666666668,33166.75,36175.333333333336,37690.583333333336,37541.0,39295.916666666664,40985.416666666664,44159.0,50122.583333333336,54411.416666666664,60886.0,74804.5
Алматинская,3619.8333333333335,4278.916666666667,5418.0,6726.0,7882.0,10716.0,13518.0,15009.416666666666,16097.0,25905.416666666668,34137.0,34947.833333333336,39592.25,40457.083333333336,40885.0,45843.75,47522.916666666664,51820.0,58138.0,62008.75,66566.0,76677.33333333333
Атырауская,5022.333333333333,6289.083333333333,6620.0,7498.0,8688.0,13592.0,15749.0,17259.25,18127.916666666668,27109.583333333332,28487.0,30864.666666666668,32493.666666666668,33958.5,34785.0,39016.0,43146.166666666664,46209.0,48757.416666666664,52662.166666666664,57056.0,67757.5
Западно-Казахстанская,4309.0,5122.416666666667,6626.0,7374.0,7924.0,11563.0,13593.0,15204.5,16998.666666666668,20055.083333333332,24050.25,27267.416666666668,30039.666666666668,32130.333333333332,34123.0,36746.916666666664,40581.25,43215.0,46136.25,49679.416666666664,56771.0,63647.416666666664
Жамбылская,2882.0,3652.6666666666665,4370.0,5673.0,6262.0,8971.0,12608.0,13368.916666666666,15424.333333333334,16330.833333333334,22458.333333333332,23109.916666666668,27493.666666666668,28456.333333333332,27589.0,28588.666666666668,33200.666666666664,37622.0,42152.666666666664,46913.333333333336,53448.0,61582.75
Жетісу,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75924.33333333333
Карагандинская,5708.75,6896.833333333333,7713.0,8612.0,10442.0,13352.0,17218.0,21559.166666666668,22496.333333333332,30099.166666666668,33359.916666666664,39870.333333333336,40791.166666666664,44998.75,46208.0,50259.416666666664,56287.916666666664,62489.0,68893.91666666667,74730.08333333333,86118.0,101463.41666666667
Костанайская,4756.0,5294.833333333333,5916.0,6499.0,7789.0,11305.0,14615.0,17246.083333333332,19029.916666666668,21237.0,25872.0,28846.916666666668,31639.666666666668,35382.5,34778.0,36744.833333333336,41433.0,43163.0,48308.166666666664,56084.583333333336,67831.0,75662.91666666667
Кызылординская,3452.8333333333335,3934.0,5137.0,5353.0,6581.0,8412.0,11156.0,12919.583333333334,17840.25,19912.583333333332,27042.416666666668,29942.583333333332,31129.166666666668,31788.416666666668,28859.0,30713.333333333332,35795.666666666664,39804.0,43636.666666666664,47741.25,54949.0,63810.0
Мангистауская,5971.166666666667,7174.5,8026.0,9485.0,12175.0,13650.0,15377.0,18474.5,15421.166666666666,23895.166666666668,24562.5,29764.5,36310.5,37957.5,39315.0,41156.416666666664,40691.0,45581.0,49491.666666666664,52071.916666666664,55891.0,67617.91666666667
